millis,stamp,datetime,motion,temp
73, 1569281745, 2019/9/23 23:35:45, 0, 20.40
2118, 1569281747, 2019/9/23 23:35:47, 0, 20.40
4169, 1569281749, 2019/9/23 23:35:49, 0, 20.40
6216, 1569281751, 2019/9/23 23:35:51, 0, 20.40
8263, 1569281753, 2019/9/23 23:35:53, 0, 20.40
10311, 1569281755, 2019/9/23 23:35:55, 0, 20.40
12357, 1569281757, 2019/9/23 23:35:57, 0, 20.40
14404, 1569281759, 2019/9/23 23:35:59, 0, 20.40
16451, 1569281761, 2019/9/23 23:36:1, 0, 20.40
18498, 1569281763, 2019/9/23 23:36:3, 1, 20.40
20563, 1569281765, 2019/9/23 23:36:5, 0, 20.40
22581, 1569281767, 2019/9/23 23:36:7, 0, 20.40
24599, 1569281769, 2019/9/23 23:36:9, 0, 20.40
26617, 1569281771, 2019/9/23 23:36:11, 0, 20.40
28636, 1569281773, 2019/9/23 23:36:13, 0, 20.40
30654, 1569281775, 2019/9/23 23:36:15, 0, 20.50
32672, 1569281777, 2019/9/23 23:36:17, 0, 20.50
34690, 1569281779, 2019/9/23 23:36:19, 0, 20.50
36707, 1569281782, 2019/9/23 23:36:22, 0, 20.50
38725, 1569281784, 2019/9/23 23:36:24, 0, 20.50
40743, 1569281786, 2019/9/23 23:36:26, 1, 20.50
42765, 1569281788, 2019/9/23 23:36:28, 0, 20.50
44783, 1569281790, 2019/9/23 23:36:30, 0, 20.50
46800, 1569281792, 2019/9/23 23:36:32, 0, 20.50
48819, 1569281794, 2019/9/23 23:36:34, 0, 20.50
50836, 1569281796, 2019/9/23 23:36:36, 0, 20.50
52854, 1569281798, 2019/9/23 23:36:38, 0, 20.50
54873, 1569281800, 2019/9/23 23:36:40, 0, 20.60
56890, 1569281802, 2019/9/23 23:36:42, 0, 20.50
58908, 1569281804, 2019/9/23 23:36:44, 0, 20.60
60925, 1569281806, 2019/9/23 23:36:46, 0, 20.60
62946, 1569281808, 2019/9/23 23:36:48, 1, 20.60
64964, 1569281810, 2019/9/23 23:36:50, 0, 20.60
66982, 1569281812, 2019/9/23 23:36:52, 0, 20.60
68999, 1569281814, 2019/9/23 23:36:54, 0, 20.60
71017, 1569281816, 2019/9/23 23:36:56, 0, 20.60
73035, 1569281818, 2019/9/23 23:36:58, 0, 20.60
75053, 1569281820, 2019/9/23 23:37:0, 1, 20.60
77071, 1569281822, 2019/9/23 23:37:2, 0, 20.60
79088, 1569281824, 2019/9/23 23:37:4, 0, 20.60
81106, 1569281826, 2019/9/23 23:37:6, 1, 20.60
83123, 1569281828, 2019/9/23 23:37:8, 0, 20.60
85144, 1569281830, 2019/9/23 23:37:10, 0, 20.60
87161, 1569281832, 2019/9/23 23:37:12, 0, 20.60
89180, 1569281834, 2019/9/23 23:37:14, 0, 20.60
91198, 1569281836, 2019/9/23 23:37:16, 0, 20.60
93215, 1569281838, 2019/9/23 23:37:18, 0, 20.60
95234, 1569281840, 2019/9/23 23:37:20, 0, 20.60
97252, 1569281842, 2019/9/23 23:37:22, 0, 20.60
99270, 1569281844, 2019/9/23 23:37:24, 1, 20.60
101287, 1569281846, 2019/9/23 23:37:26, 0, 20.60
103306, 1569281848, 2019/9/23 23:37:28, 0, 20.60
105326, 1569281850, 2019/9/23 23:37:30, 0, 20.60
107344, 1569281852, 2019/9/23 23:37:32, 1, 20.60
109362, 1569281854, 2019/9/23 23:37:34, 0, 20.60
111380, 1569281856, 2019/9/23 23:37:36, 0, 20.60
113398, 1569281858, 2019/9/23 23:37:38, 0, 20.60
115416, 1569281860, 2019/9/23 23:37:40, 0, 20.60
117434, 1569281862, 2019/9/23 23:37:42, 0, 20.60
119451, 1569281864, 2019/9/23 23:37:44, 0, 20.60
121468, 1569281866, 2019/9/23 23:37:46, 0, 20.60
123487, 1569281868, 2019/9/23 23:37:48, 1, 20.60
125505, 1569281870, 2019/9/23 23:37:50, 0, 20.60
127526, 1569281872, 2019/9/23 23:37:52, 0, 20.60
129544, 1569281874, 2019/9/23 23:37:54, 0, 20.60
131562, 1569281876, 2019/9/23 23:37:56, 1, 20.60
133579, 1569281879, 2019/9/23 23:37:59, 0, 20.60
135598, 1569281881, 2019/9/23 23:38:1, 0, 20.50
137615, 1569281883, 2019/9/23 23:38:3, 0, 20.50
139633, 1569281885, 2019/9/23 23:38:5, 0, 20.60
141650, 1569281887, 2019/9/23 23:38:7, 0, 20.60
143669, 1569281889, 2019/9/23 23:38:9, 0, 20.60
145686, 1569281891, 2019/9/23 23:38:11, 0, 20.60
147706, 1569281893, 2019/9/23 23:38:13, 0, 20.60
149724, 1569281895, 2019/9/23 23:38:15, 0, 20.60
151742, 1569281897, 2019/9/23 23:38:17, 0, 20.60
153760, 1569281899, 2019/9/23 23:38:19, 0, 20.60
155778, 1569281901, 2019/9/23 23:38:21, 0, 20.60
157795, 1569281903, 2019/9/23 23:38:23, 0, 20.60
159813, 1569281905, 2019/9/23 23:38:25, 0, 20.50
161830, 1569281907, 2019/9/23 23:38:27, 0, 20.50
163849, 1569281909, 2019/9/23 23:38:29, 0, 20.60
165866, 1569281911, 2019/9/23 23:38:31, 0, 20.60
167886, 1569281913, 2019/9/23 23:38:33, 0, 20.50
169905, 1569281915, 2019/9/23 23:38:35, 0, 20.60
171922, 1569281917, 2019/9/23 23:38:37, 0, 20.50
173940, 1569281919, 2019/9/23 23:38:39, 0, 20.60
175958, 1569281921, 2019/9/23 23:38:41, 0, 20.60
177976, 1569281923, 2019/9/23 23:38:43, 0, 20.50
179993, 1569281925, 2019/9/23 23:38:45, 0, 20.50
182011, 1569281927, 2019/9/23 23:38:47, 0, 20.50
184029, 1569281929, 2019/9/23 23:38:49, 0, 20.60
186047, 1569281931, 2019/9/23 23:38:51, 0, 20.50
188067, 1569281933, 2019/9/23 23:38:53, 0, 20.50
190086, 1569281935, 2019/9/23 23:38:55, 0, 20.60
192103, 1569281937, 2019/9/23 23:38:57, 0, 20.50
194121, 1569281939, 2019/9/23 23:38:59, 0, 20.50
196139, 1569281941, 2019/9/23 23:39:1, 1, 20.60
198157, 1569281943, 2019/9/23 23:39:3, 0, 20.50
200174, 1569281945, 2019/9/23 23:39:5, 0, 20.50
202192, 1569281947, 2019/9/23 23:39:7, 1, 20.50
204211, 1569281949, 2019/9/23 23:39:9, 0, 20.50
206229, 1569281951, 2019/9/23 23:39:11, 0, 20.50
208245, 1569281953, 2019/9/23 23:39:13, 0, 20.50
210267, 1569281955, 2019/9/23 23:39:15, 1, 20.50
212285, 1569281957, 2019/9/23 23:39:17, 0, 20.50
214303, 1569281959, 2019/9/23 23:39:19, 0, 20.50
216321, 1569281961, 2019/9/23 23:39:21, 0, 20.50
218339, 1569281963, 2019/9/23 23:39:23, 0, 20.50
220357, 1569281965, 2019/9/23 23:39:25, 0, 20.50
222375, 1569281967, 2019/9/23 23:39:27, 1, 20.50
224393, 1569281969, 2019/9/23 23:39:29, 0, 20.50
226411, 1569281971, 2019/9/23 23:39:31, 1, 20.50
228429, 1569281973, 2019/9/23 23:39:33, 0, 20.50
230451, 1569281975, 2019/9/23 23:39:35, 0, 20.50
232468, 1569281978, 2019/9/23 23:39:38, 0, 20.50
234486, 1569281980, 2019/9/23 23:39:40, 0, 20.50
236505, 1569281982, 2019/9/23 23:39:42, 0, 20.50
